.species.name,tax.id,phage.nonphage,source,source.version,acc,n_clstr,nt,perc_id_to_rep,is_rep
Shigella virus Shfl1,1002724,phage,NCBI Refseq,209,NC_015456,827,50661,100,TRUE
Shigella phage Shfl2,1002725,phage,NCBI Refseq,209,NC_015457,2911,165919,100,TRUE
Vibrio phage qdvp001,1003177,phage,NCBI Refseq,209,NC_029057,2445,134742,100,TRUE
Salmonella virus iEPS5,1005056,phage,NCBI Refseq,209,NC_021783,8,59254,100,TRUE
Staphylococcus phage Sb1,1007127,phage,NCBI Refseq,209,NC_023009,2487,127188,100,TRUE
Rhodococcus phage E3,1007869,phage,NCBI Refseq,209,NC_021347,3191,142563,100,TRUE
Staphylococcus phage S24-1,1010614,phage,NCBI Refseq,209,NC_016565,1703,18168,100,TRUE
Enterobacteria phage ES18,101570,phage,NCBI Refseq,209,NC_006949,1041,46900,100,TRUE
Synechococcus phage S-CRM01,1026955,phage,NCBI Refseq,209,NC_015569,2950,178563,100,TRUE
Stenotrophomonas phage phiSHP2,1027253,phage,NCBI Refseq,209,NC_015586,1540,5819,100,TRUE
Staphylococcus phage ISP,1028375,phage,NCBI Refseq,209,NC_047720,3158,138339,100,TRUE
Erwinia phage phiEaH2,1029988,phage,NCBI Refseq,209,NC_019929,3334,243050,100,TRUE
Clostridium phage phiCD38-2,1032362,phage,NCBI Refseq,209,NC_015568,478,41090,100,TRUE
Mycobacterium virus BBPiebs31,1032891,phage,NCBI Refseq,209,NC_042327,3785,53171,100,TRUE
Mycobacterium virus Heldan,1032892,phage,NCBI Refseq,209,NC_042328,794,50364,100,TRUE
Mycobacterium virus Optimus,1032893,phage,NCBI Refseq,209,NC_041844,2254,109270,100,TRUE
Mycobacterium phage Timshel,1032895,phage,NCBI Refseq,209,NC_041983,3794,53278,100,TRUE
Flavobacterium phage FCV-1,1033977,phage,NCBI Refseq,209,NC_041845,1146,46450,100,TRUE
Mycobacterium virus Baka,1034099,phage,NCBI Refseq,209,NC_042316,2288,111688,100,TRUE
Mycobacterium virus Bask21,1034100,phage,NCBI Refseq,209,NC_041846,2633,74997,100,TRUE
Mycobacterium virus Dlane,1034101,phage,NCBI Refseq,209,NC_042317,4162,58899,100,TRUE
Mycobacterium virus Hammer,1034103,phage,NCBI Refseq,209,NC_042318,3637,51889,100,TRUE
Mycobacterium virus Ibhubesi,1034107,phage,NCBI Refseq,209,NC_042319,3394,55600,100,TRUE
Mycobacterium virus JC27,1034108,phage,NCBI Refseq,209,NC_042320,3820,52169,100,TRUE
Mycobacterium virus Kssjeb,1034109,phage,NCBI Refseq,209,NC_042326,3712,51381,100,TRUE
Mycobacterium virus Lesedi,1034110,phage,NCBI Refseq,209,NC_042321,769,50486,100,TRUE
Mycobacterium virus Littlee,1034111,phage,NCBI Refseq,209,NC_042322,2255,109086,100,TRUE
Mycobacterium virus Mozy,1034112,phage,NCBI Refseq,209,NC_042323,3566,57278,100,TRUE
Mycobacterium virus Museum,1034113,phage,NCBI Refseq,209,NC_042324,3708,51426,100,TRUE
Mycobacterium virus Pixie,1034114,phage,NCBI Refseq,209,NC_042325,4281,61147,100,TRUE
Mycobacterium phage Rey,1034115,phage,NCBI Refseq,209,NC_041971,2756,83724,100,TRUE
Mycobacterium phage SirDuracell,1034116,phage,NCBI Refseq,209,NC_041987,2519,75973,100,TRUE
Mycobacterium phage Switzer,1034118,phage,NCBI Refseq,209,NC_041985,3808,52298,100,TRUE
Mycobacterium virus Faith1,1034125,phage,NCBI Refseq,209,NC_015584,2524,75960,100,TRUE
Mycobacterium phage Adephagia,1034127,phage,NCBI Refseq,209,NC_051610,4363,59646,100,TRUE
Mycobacterium phage Alice,1034128,phage,NCBI Refseq,209,NC_028986,3092,153401,100,TRUE
Mycobacterium virus Backyardigan,1034129,phage,NCBI Refseq,209,NC_042308,45,51308,99.58,FALSE
Mycobacterium phage ChrisnMich,1034130,phage,NCBI Refseq,209,NC_042034,4009,70428,100,TRUE
Mycobacterium virus George,1034133,phage,NCBI Refseq,209,NC_042312,3625,51578,100,TRUE
Mycobacterium virus Gladiator,1034135,phage,NCBI Refseq,209,NC_042309,3833,52213,100,TRUE
Mycobacterium virus JHC117,1034136,phage,NCBI Refseq,209,NC_042310,1,50877,98.61,FALSE
Mycobacterium virus JoeDirt,1034137,phage,NCBI Refseq,209,NC_042313,2622,74914,100,TRUE
Mycobacterium phage Marvin,1034139,phage,NCBI Refseq,209,NC_042032,3890,65100,100,TRUE
